user,ID,rating
liquid9000,84876,10.0
koenmer,84876,10.0
MrGoldenTom,84876,10.0
djvalentine,84876,10.0
SLO_Fila,84876,10.0
Mystaker,84876,10.0
palmer1986,84876,10.0
mikeron,84876,10.0
Jop_09,84876,10.0
DWTheriault,84876,10.0
Afull,84876,10.0
3wto3g,84876,10.0
adavemg,84876,10.0
beybeybey,84876,10.0
linzunit,84876,10.0
BlackKnightGames,84876,10.0
Tortafogo,84876,10.0
ropinster,84876,10.0
Camilot,84876,10.0
bbqboy,84876,10.0
ginus,84876,10.0
webersmann,84876,10.0
Kisuko15,84876,10.0
GreenJoey,84876,10.0
kelsensantos,84876,10.0
Vadorojo,84876,10.0
Polo86,84876,10.0
Marco Scintilla Roma,84876,10.0
McTan,84876,10.0
WilczyCzort,84876,10.0
Joemono,84876,10.0
DragonsTear,84876,10.0
Monkeychow67,84876,10.0
marceleonardo,84876,10.0
RoulioLombric,84876,10.0
beatrizokamoto,84876,10.0
Tonfawarrior,84876,10.0
irwinbuijs,84876,10.0
LillianLove,84876,10.0
LepiGagi,84876,10.0
nybbon,84876,10.0
ph_Daniel,84876,10.0
ceewee,84876,10.0
brokula,84876,10.0
monacelli,84876,10.0
Dpman48,84876,10.0
Rggity,84876,10.0
Snai,84876,10.0
Vargold,84876,10.0
Meepletopia,84876,10.0
Reaperman21,84876,10.0
corgigeneral,84876,10.0
Laserdance,84876,10.0
ArcadEd,84876,10.0
Kortosis,84876,10.0
ratmobison,84876,10.0
Daisetsu246,84876,10.0
Moleman55,84876,10.0
drakaris123,84876,10.0
scaccacc,84876,10.0
ib90,84876,10.0
Firelord,84876,10.0
mlacy675,84876,10.0
Freya79,84876,10.0
JackDempsy,84876,10.0
purpleplatypus,84876,10.0
Julimayne,84876,10.0
thunderstruck67,84876,10.0
deiamacedo,84876,10.0
tadel90,84876,10.0
bigGmcgee,84876,10.0
dachocochamp,84876,10.0
Denga,84876,10.0
ArkadiuszM,84876,10.0
Rocket2961,84876,10.0
whitcomb223,84876,10.0
Patwick,84876,10.0
Regalecus,84876,10.0
kmundo,84876,10.0
Amonteloulou,84876,10.0
BringWorkersHome,84876,10.0
AlexColman,84876,10.0
lmcfadye,84876,10.0
jks139,84876,10.0
Z3nmaster247,84876,10.0
LPMD,84876,10.0
soulessjest,84876,10.0
profmeier,84876,10.0
jbyn,84876,10.0
mtu10s,84876,10.0
homster,84876,10.0
Sanrey,84876,10.0
Adrian Rz1,84876,10.0
Agnieszka Rz1,84876,10.0
krzyss,84876,10.0
Ranstey,84876,10.0
bersuit103,84876,10.0
Meekrob81,84876,10.0
balrog1976,84876,10.0
Kolath,84876,10.0
Forceown,84876,10.0
iplaybgnaked,84876,10.0
cuguara,84876,10.0
Roberto74,84876,10.0
jcadillac,84876,10.0
OrthmannUW,84876,10.0
jejexdekeje,84876,10.0
cambast,84876,10.0
banker167,84876,10.0
gamermd,84876,10.0
cherey,84876,10.0
LittleWhale,84876,10.0
Bracik,84876,10.0
KoufaxMachine,84876,10.0
drxero_BE,84876,10.0
alexlockhart7,84876,10.0
dervishev,84876,10.0
adeslovac,84876,10.0
ku9255,84876,10.0
neferett,84876,10.0
Davidnicks,84876,10.0
yenkoberli,84876,10.0
NicoPlay77,84876,10.0
Thorwen,84876,10.0
woodfeld,84876,10.0
Pinkpaw,84876,10.0
zreenco,84876,10.0
zhekushka,84876,10.0
Snurran,84876,10.0
xTamrieL,84876,10.0
Eilsano,84876,10.0
AlvaroGuerra,84876,10.0
tjuranyi,84876,10.0
johnson4e,84876,10.0
rubastank,84876,10.0
Csomi,84876,10.0
Timerider78,84876,10.0
Zogjones,84876,10.0
benlinton,84876,10.0
willport3,84876,10.0
Gerde,84876,10.0
mawoodruff333,84876,10.0
Klimpksr,84876,10.0
Javaslinger,84876,10.0
Ann D,84876,10.0
coachccoach,84876,10.0
davispigeon,84876,10.0
guiziegler,84876,10.0
13thSON,84876,10.0
geekapostle,84876,10.0
Jheresay,84876,10.0
Sevillano27,84876,10.0
tony27han,84876,10.0
knifeyspoony6,84876,10.0
rxconnelly,84876,10.0
Amellie,84876,10.0
podolook,84876,10.0
Josvent,84876,10.0
simonalexander2005,84876,10.0
spider_7,84876,10.0
Trottelreiner,84876,10.0
SH4K3 THE GR34T,84876,10.0
Zargot,84876,10.0
nomeachantare,84876,10.0
eslice,84876,10.0
annhamon,84876,10.0
Axerane,84876,10.0
nina75,84876,10.0
Oliphaunts,84876,10.0
whoshi,84876,10.0
khamils,84876,10.0
AlphaOrionis,84876,10.0
ctulis59,84876,10.0
ojaidave,84876,10.0
fvegafink,84876,10.0
ArringtonPan,84876,10.0
J_p_stroud,84876,10.0
DomiDori,84876,10.0
educador,84876,10.0
galenous,84876,10.0
DiTo84,84876,10.0
Moskva,84876,10.0
mattyoung27,84876,10.0
DaBeefster,84876,10.0
Sparthan,84876,10.0
Newt2b,84876,10.0
wroten121,84876,10.0
cdsheep,84876,10.0
thatvietguy,84876,10.0
chucko,84876,10.0
Battledwarf,84876,10.0
Stevens57,84876,10.0
Skacom,84876,10.0
margrabius,84876,10.0
max82363,84876,10.0
poprocks_and_coke,84876,10.0
kdrobny,84876,10.0
rwgeorge7,84876,10.0
Bexarath,84876,10.0
LibrarianSusan,84876,10.0
elgatofelix,84876,10.0
mfeit,84876,10.0
klp098,84876,10.0
groenemeyer05,84876,10.0
hirothehero,84876,10.0
Kanalasgem,84876,10.0
SgtSocom,84876,10.0
enddubyou,84876,10.0
zealixianking,84876,10.0
NRKPbradspelscafe,84876,10.0
seb_snape23,84876,10.0
noname536,84876,10.0
Bazmondo123,84876,10.0
xsx513346569,84876,10.0
oclayton,84876,10.0
JakobStansfield,84876,10.0
tytm1214,84876,10.0
Apemantus,84876,10.0
veniatregnum,84876,10.0
tyk686999,84876,10.0
HOTROD27,84876,10.0
Halaszer,84876,10.0
llrensink,84876,10.0
trebor_vrx,84876,10.0
jromkey,84876,10.0
Yenreb,84876,10.0
Arevlac,84876,10.0
robinsonferrari,84876,10.0
kmarnwvu,84876,10.0
Gaborg,84876,10.0
zielonypawelf,84876,10.0
digger91,84876,10.0
ifigazsi,84876,10.0
jjmac,84876,10.0
fabri77soa,84876,10.0
KAMIENNATWARZ,84876,10.0
manningpark,84876,10.0
thekushan,84876,10.0
RoamingIbi,84876,10.0
lhucas,84876,10.0
YvaS,84876,10.0
gfish777,84876,10.0
Graphia_69,84876,10.0
PeterHaulay,84876,10.0
Inland Murmur,84876,10.0
Violetnaenae,84876,10.0
Glafkes,84876,10.0
Aivaras,84876,10.0
vargsang,84876,10.0
Pablike,84876,10.0
quexacoatl,84876,10.0
martyshqa,84876,10.0
elclarkey,84876,10.0
Rxram,84876,10.0
KatherineNaomi,84876,10.0
Fabbyrob,84876,10.0
grandlapin,84876,10.0
Sailormartes,84876,10.0
vanect80,84876,10.0
makswiej,84876,10.0
Nijusan,84876,10.0
caxo4,84876,10.0
jun3bug91,84876,10.0
Jetflyer,84876,10.0
zealotnether,84876,10.0
davidbhayes,84876,10.0
dattenhein,84876,10.0
grantwebber,84876,10.0
mhaseman,84876,10.0
ryoga121,84876,10.0
RAD_afabube,84876,10.0
polyprimitive,84876,10.0
Impy,84876,10.0
sergyct,84876,10.0
happy_shooter,84876,10.0
drewhauge,84876,10.0
Dimkar,84876,10.0
hgadagamegeek,84876,10.0
gyroscope1045,84876,10.0
symiant,84876,10.0
zrafidi,84876,10.0
bunnero,84876,10.0
pontus_thome,84876,10.0
Permanent7,84876,10.0
tanitra,84876,10.0
serikamd,84876,10.0
tomwin,84876,10.0
adrianopolous,84876,10.0
Samba88,84876,10.0
Albert Zweistein,84876,10.0
petebuc9,84876,10.0
alxx,84876,10.0
F1reQu33n,84876,10.0
